"year","organisation","critical_industry","organisation_size","level_of_digital_intensity","sector","country","cyber_security_role","cyber_security_frameworks","education_and_awareness_policy","policy","prevention_detection_and_recovery","improper_network_segmentation","absence_of_encryption","detector","restructuring_after_attack","bribe_ransom_paid","free_identity_or_credit_theft_monitoring","additional_disclosure_of_information","number_of_users_affected","overall_nature_of_attack","attack_type","attacker","attack_vector","impact_on_data","aspect_of_confidentiality_integrity_availability_triad_affected","individual_s_name_s_leaked_exposed","address_es_leaked_exposed","other_personally_identifiable_information_pii_leaked_exposed","track_1_credit_card_details_leaked_exposed","track_2_credit_card_details_leaked_exposed","social_security_number_tax_number_leaked_exposed","subsequent_fraudulent_use_of_data","investigation","undertook_investigation","litigation_by_public","penalties_settlement_paid_or_actions_imposed","imposed_penalties_or_actions_on_organisation","fines_issued_by_government_or_relevant_body","settlement_paid"
2016,"New West Health Services","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",25000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2010,"New York City Health & Hospitals Corp.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",1700000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"New York Police Department","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","No","NA","Organisation","NA","No","NA","NA",80000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"New York State Electric & Gas","Yes","Large","Low","Electricity, gas, steam and air conditioning","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",2e+06,"Type 2","Misuse of resources","External","Inappropriate use of privilege","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"New York State Psychiatric Institute","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",21880,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Nexon Korea Corp","No","Large","Medium-High","Arts, entertainment and recreation","South Korea","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",13200000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2013,"Nintendo","No","Large","Medium-High","Arts, entertainment and recreation","Global","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","NA","Yes",23926,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"North Carolina Department of Transportation","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","NA",25000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"North Dakota University System","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","No","Yes","Credit card/bank","No","No","No","No",290800,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"North East Medical Services","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",69246,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"North Shore Jewish Health Systems","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",18000,"Type 3","Physical Theft","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Northwest Florida State College","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",280000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2017,"Northwest Rheumatology","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","Yes","No",19203,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"Northwestern University","No","Large","Low-Medium","Education","USA","No","No","No","NA","Low","Yes","Yes","Organisation","NA","No","NA","NA",21500,"NA","Unknown","External","Unknown device attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Nuance Communications","Yes","Large","High","IT and other information services","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",45000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"Oakland Family Services","No","Medium","Low-Medium","Residential care and social work activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","Yes","No","Yes","No",16000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Office of Dr. Kathleen Whisman","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","No",8900,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Office of Dr. Stephen Imrie","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","No",8900,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"Ohio State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","NA","Yes",760000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Ohio State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","Yes",14000,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Ohio state workers","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",225000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Oklahoma Department of Human Services","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",47000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Oklahoma State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","NA",70000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Oklahoma State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",280000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Olson & White Orthodontics","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",10000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Omni Hotels & Resorts","No","Large","Low","Accommodation and food service activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",50000,"Type 1","Installed malware","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Onco360  CareMed Speciality Pharmacy","Yes","Medium","Low-Medium","Pharmaceutical products","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",360000,"Type 2","Misuse of resources","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Oncology Consultants, P.A.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",19203,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"OnePlus","Yes","Large","Medium-High","Computer, electronic and optical products","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",40000,"Type 1","Installed malware","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2014,"Onsite Health Diagnostics (OHD)","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",60582,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Orange County Anaheim Medical Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",49000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Orangeburg-Calhoun Technical College","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",20000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Orbitz","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","NA","NA",880000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2010,"Oregon State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","Yes","Yes",34000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"Oregon's Health CO-OP","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","No","Organisation","No","No","Yes","No",15000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"P.F. Changs","Yes","Large","Low","Accommodation and food service activities","USA","No","No","No","Yes","Low","No","Yes","Federal Agency","NA","No","Yes","Yes",7e+06,"Type 1","Installed malware","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","Yes","Yes","No","No","No","No"
2010,"P.K. Yonge","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",8300,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Pacific Alliance Medical Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",266123,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Pasquotank-Camden Emergency Medical Service","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","No","Low","Yes","Yes","Organisation","Yes","No","Yes","NA",40000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"PayAsUGym","No","Small","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","NA","NA","Federal Agency","Yes","No","No","Yes",3e+05,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2014,"Paytime Inc.","Yes","Medium","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",233000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Peachtree Orthopaedic Clinic","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","Yes","No",531000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Pepperdine University","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","Yes",8300,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2010,"Perinton Square Post Office","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","NA","NA",8e+05,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2012,"Phandroid, Androidforums.com","Yes","Unknown","High","IT and other information services","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",1e+06,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Pizza Hut","Yes","Large","Low","Accommodation and food service activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",60000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2017,"Plastic Surgery Associates of South Dakota","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",10000,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"PlaySpan","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",117000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Praetorian Digital/ PoliceOne Forum","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",715000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2015,"Premera Blue Cross","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",1.1e+07,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2013,"Presbyterian Anaesthesia Associates, E-dreamz, Pledmont Healthcare","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",9988,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2016,"Professional Dermatology Care, P.C.","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",13237,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Prosthetic & Orthotic Care, Inc.","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",23015,"Type 2","Misuse of resources","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2019,"Providence Health Plan","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",122000,"Type 2","Unknown","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2006,"Providence Home Services","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","NA","Yes",365000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Pulte Homes  Las Vegas Divison","No","Large","Low","Construction","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","Yes","NA",16000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2018,"Punjab National Bank","Yes","Large","High","Finance and insurance","India","No","No","No","Yes","Low","NA","NA","Federal Agency","No","No","No","No",10000,"Type 2","Unknown","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2011,"Purdue University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",7000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"PVHS-ICM Employee Health  Wellness, LLC as covered entity  business associate","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",10143,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Qatar National Bank","Yes","Large","High","Finance and insurance","Qatar","Yes","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",465437,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2016,"Quest Diagnostics","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",34000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes"
2019,"Quest Diagnostics","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",1.2e+07,"Type 2","Misuse of resources","External","Vendor vulnerability","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes"
2018,"Quora","No","Large","Medium-High","Arts, entertainment and recreation","Global","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","NA","Yes",1e+08,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2008,"RBS Worldpay","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","NA",1500000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2018,"Reliable Respiratory","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",21000,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"RentPath, Inc. (Primedia)","No","Large","High","Advertising and other business services","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","No",56000,"Type 3","Physical Theft","External","Vendor vulnerability","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Rockville eye surgery center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",5000,"Type 2","Misuse of resources","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2009,"RockYou!","Yes","Medium","High","IT and other information services","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","NA","NA",3.2e+07,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
2017,"Ron's Pharmacy Services","Yes","Medium","Low-Medium","Pharmaceutical products","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",6781,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"RootsWeb","No","Large","Medium-High","Arts, entertainment and recreation","USA","Yes","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",3e+05,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No"
2006,"Ross-Simons","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","Yes",6e+07,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"Sacred Heart Health System, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",14177,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"Sacred Heart University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","Yes",135000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2015,"Saint Agnes Health Care, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",24967,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Saint Francis Hospital","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",107000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Saint Mary's Regional Medical Center","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","Yes","NA",128000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Saks  Lord & Taylor","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",5e+06,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2013,"Salem State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","No",25000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Salina Family Healthcare Center","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","NA",77000,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Sally Beauty","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","Yes","Yes","Credit card/bank","No","No","No","No",26000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2014,"Sally Beauty","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","No","Yes","Credit card/bank","NA","No","Yes","Yes",260000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2016,"San Juan County New Mexico","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","NA","NA",12500,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"SCAN Health Plan","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Low","NA","Yes","Organisation","No","No","Yes","No",87000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Schnuck Markets Inc.","Yes","Large","Low","Food products, beverages and tobacco","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",2400000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
2015,"Scottrade","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","NA","NA","Federal Agency","Yes","No","Yes","No",4600000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2005,"Scottrade Troy Group","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","NA","NA",1400000,"Type 2","Unknown","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2013,"Scribd","Yes","Medium","High","IT and other information services","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",5e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2010,"Seacoast Radiology, PA","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",231400,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Sears","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",1e+05,"Type 2","Unknown","External","Vendor vulnerability","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2006,"Second Life","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","Yes","No","Organisation","NA","No","NA","NA",660000,"Type 1","Installed malware","External","Unknown network attack","High","Confidentiality","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2011,"Sega","No","Large","Medium-High","Arts, entertainment and recreation","Japan","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",1300000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"Semtech","Yes","Large","Medium-High","Computer, electronic and optical products","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",690,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Sentara Virginia Beach General Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",56000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"Sentry Insurance","No","Medium","High","Finance and insurance","USA","No","No","No","Yes","Low","No","Yes","Federal Agency","NA","No","NA","NA",110000,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
2012,"Serco, Inc., Federal Retirement Thrift Investment Board","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",123000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
